Tag/Nacht	Temperature(°C)  	 Moisture(%)
0	9	588.404.105.756.808
0	9	591.279.193.497.523
0	9	588.779.117.201.249
0	9	590.195.827.102.471
0	9	588.070.762.250.638
0	9	588.154.098.127.181
0	9	591.404.197.312.337
0	9	591.404.197.312.337
0	8	591.320.861.435.794
0	8	590.195.827.102.471
0	9	58.882.078.513.952
0	9	591.654.204.941.964
0	8	59.186.254.463.332
0	9	589.945.819.472.844
0	8	589.070.792.769.148
0	9	589.070.792.769.148
0	9	590.904.182.053.082
0	9	589.320.800.398.775
0	9	588.195.766.065.452
0	9	589.362.468.337.046
0	9	589.779.147.719.759
0	9	591.362.529.374.065
0	9	588.737.449.262.978
0	9	590.112.491.225.929
0	9	58.777.908.668.274
0	9	590.237.495.040.742
0	9	588.362.437.818.537
0	9	590.904.182.053.082
0	9	59.048.750.267.037
0	9	591.404.197.312.337
0	9	587.695.750.806.197
0	9	589.987.487.411.115
0	9	589.904.151.534.572
0	9	587.195.735.546.943
0	9	589.404.136.275.318
0	9	588.529.109.571.622
0	9	590.820.846.176.539
0	9	591.154.189.682.709
0	9	590.820.846.176.539
0	9	59.048.750.267.037
0	9	58.777.908.668.274
0	9	589.529.140.090.131
0	9	590.779.178.238.268
0	9	592.362.559.892.575
0	9	589.987.487.411.115
0	9	590.570.838.546.912
0	9	588.695.781.324.707
0	9	591.070.853.806.167
0	9	588.195.766.065.452
0	9	590.445.834.732.098
0	9	588.904.121.016.063
0	9	591.945.880.509.863
0	9	590.029.155.349.386
0	9	591.904.212.571.591
0	9	590.737.510.299.997
0	9	592.362.559.892.575
0	9	589.529.140.090.131
0	9	588.779.117.201.249
0	9	591.154.189.682.709
0	9	591.154.189.682.709
0	9	589.279.132.460.504
0	9	589.112.460.707.419
0	9	587.529.079.053.112
0	9	588.945.788.954.334
0	9	590.195.827.102.471
0	9	588.654.113.386.435
0	9	588.154.098.127.181
0	8	591.154.189.682.709
0	8	590.820.846.176.539
0	8	589.945.819.472.844
0	9	590.654.174.423.455
0	9	589.779.147.719.759
0	8	590.612.506.485.183
0	9	589.987.487.411.115
0	8	590.070.823.287.657
0	9	587.695.750.806.197
0	9	5.901.541.591.642
1	8	590.945.849.991.353
1	8	590.820.846.176.539
1	8	590.404.166.793.827
1	8	589.445.804.213.589
1	8	589.612.475.966.674
1	8	590.112.491.225.929
1	8	589.695.811.843.216
1	8	588.237.434.003.723
1	8	590.820.846.176.539
1	8	58.882.078.513.952
1	8	587.737.418.744.469
1	8	588.862.453.077.792
1	8	591.404.197.312.337
1	8	590.737.510.299.997
1	8	591.820.876.695.049
1	8	587.695.750.806.197
1	8	590.320.830.917.285
1	8	589.529.140.090.131
1	8	59.048.750.267.037
1	8	592.570.899.583.931
1	8	591.945.880.509.863
1	8	592.237.556.077.761
1	8	59.252.923.164.566
1	8	590.654.174.423.455
1	8	591.404.197.312.337
1	8	592.279.224.016.032
1	8	595.404.319.386.375
1	8	596.237.678.151.799
1	8	595.112.643.818.476
1	8	597.196.040.732.037
1	8	59.694.603.310.241
1	8	594.404.288.867.865
1	8	598.237.739.188.818
1	8	595.487.655.262.917
1	8	594.362.620.929.594
1	8	59.661.268.959.624
1	8	598.779.422.386.344
1	8	596.487.685.781.426
1	8	599.737.784.966.582
1	8	598.237.739.188.818
1	8	597.529.384.238.207
1	9	599.404.441.460.412
1	9	598.321.075.065.361
1	8	600.029.460.534.481
1	8	596.487.685.781.426
1	9	595.695.994.954.273
1	9	598.529.414.756.717
1	9	595.195.979.695.018
1	9	59.965.444.909.004
1	9	598.404.410.941.903
1	9	59.965.444.909.004
1	9	600.154.464.349.295
1	9	597.737.723.929.563
1	9	595.445.987.324.646
1	9	596.529.353.719.698
1	9	599.279.437.645.599
1	9	601.612.842.188.788
1	9	599.821.120.843.125
1	9	599.237.769.707.328
1	9	599.196.101.769.056
1	9	599.362.773.522.141
1	9	600.279.468.164.108
1	9	599.696.117.028.311
1	9	596.404.349.904.884
1	9	596.987.701.040.681
1	10	597.321.044.546.851
1	9	598.279.407.127.089
1	10	597.529.384.238.207
1	9	597.654.388.053.021
1	9	597.071.036.917.224
1	9	596.404.349.904.884
1	9	595.362.651.448.103
		
